company,segment,location,site_count,employees_est,buyer_guess,waste_fit,priority,status,source,first_channel,message_variant,first_action,notes
ООО "Юнитэйп",производство упаковочных материалов,Минск,1,needs-check,директор / операционный,high,A,ready-for-outreach,unitape.com,email / form-first,cold-1,Открыть сайт и найти email или форму; отправить первый outbound,Первая волна: packaging-fit; проверить численность уже после первого касания
СП "Белвакуумпак" ООО,производство вакуумной упаковки,Минск,1,needs-check,директор / производство,high,A,ready-for-outreach,optoviki.kz/1617,email / form-first,cold-1,Найти официальный сайт или общий email; отправить первый outbound,Первая волна: packaging-fit; размер можно уточнять после ответа
ООО "Ивада-Пак",производство упаковки и этикетки,Минск,1,needs-check,директор / главный инженер,high,A,ready-for-outreach,ivadapack.by,email / form-first,cold-1,Открыть сайт и найти email или форму; отправить первый outbound,Первая волна: packaging-fit
ООО "АКВАПАК ИНДАСТРИАЛ",производство пластиковой упаковки,Минск,1,needs-check,директор / производство,high,A,ready-for-outreach,aquapack.by,email / form-first,cold-1,Открыть сайт и найти email или форму; отправить первый outbound,Первая волна: plastic packaging fit
ООО "БелЭксПринт",типография / упаковка,Минск,1,needs-check,директор,high,A,ready-for-outreach,belexprint.by,email / form-first,cold-2,Открыть сайт и найти общий email; отправить первый outbound с акцентом на документы и сроки,Первая волна: print + packaging contour
Типография "Олпол",типография,Минск,1,needs-check,директор,high,A,ready-for-outreach,olpol.by,email / form-first,cold-2,Открыть сайт и найти общий email; отправить первый outbound с акцентом на документы и сроки,Первая волна: типовой print waste profile
ООО "B2B Print",типография,Минск,1,needs-check,директор / операционный,high,A,ready-for-outreach,b2bprint.by,email / form-first,cold-2,Открыть сайт и найти общий email; отправить первый outbound с акцентом на документы и сроки,Первая волна: типовой print waste profile
ЧПУП "Печатник",типография,Гомель,1,needs-check,директор,high,A,ready-for-outreach,pechatnik.by,email / form-first,cold-2,Открыть сайт и найти общий email; отправить первый outbound,Региональный кандидат первой волны
ООО "Постпресс",полиграфия / послепечатное производство,Минск,1,needs-check,директор / производство,high,A,ready-for-outreach,postpress.by,email / form-first,cold-2,Открыть сайт и найти общий email; отправить первый outbound,Первая волна: производственный print contour
ООО "Дизайн и упаковка",упаковка / картонная упаковка,Минск,1,needs-check,директор,high,A,ready-for-outreach,unp.by,email / form-first,cold-1,Найти сайт по названию или использовать реестр как старт для контакта; отправить первый outbound,Первая волна: cardboard packaging fit
ООО "РеалПак",производство упаковки,Минск,1,needs-check,директор / производство,high,A,ready-for-outreach,realpack.by,email / form-first,cold-1,Открыть сайт и найти email или форму; отправить первый outbound,Первая волна: packaging-fit
ООО "ИнстантБел",фасовка / упаковка,Минск,1,needs-check,директор / операционный,high,A,ready-for-outreach,instantbel.by,email / form-first,cold-3,Открыть сайт и найти общий email; отправить первый outbound с акцентом на setup + monthly support,Первая волна: фасовка / упаковка
ООО "Уникальные технологии упаковки",производство упаковки,Минск,1,needs-check,директор / главный инженер,high,A,ready-for-outreach,utpack.by,email / form-first,cold-1,Открыть сайт и найти email или форму; отправить первый outbound,Первая волна: packaging-fit
